issue_id,part,chapter_file,chapter_pages,section_page,line,heading,nearest_heading,kind,status,severity,snippet,action,algorithm
I0001,,chapters/frame/heisenberg_frame.tex,45-78,71,2268,\section{Synthesis: the modular Koszul programme},\section{Synthesis: the modular Koszul programme},meta-heading,must-upgrade,critical,\section{Synthesis: the modular Koszul programme},Retitle or relocate heading outside theorematic flow,ALG-A
I0569,None,chapters/frame/heisenberg_frame.tex,,71,2268,Frame synthesis section,\section{Synthesis: the modular Koszul programme},architecture,must-upgrade,critical,Frame synthesis section,Excise programme section from frame chapter or collapse to one terminal paragraph,ALG-A
I0002,,chapters/frame/heisenberg_frame.tex,45-78,72,2340,\subsection{The modular Koszul programme},\subsection{The modular Koszul programme},meta-heading,must-upgrade,critical,\subsection{The modular Koszul programme},Retitle or relocate heading outside theorematic flow,ALG-A
I0005,Core Theory,chapters/theory/algebraic_foundations.tex,97-100,99,249,\subsection{The Gui--Li--Zeng quadratic duality framework},\subsection{The Gui--Li--Zeng quadratic duality framework},narrative-meta,must-upgrade,high,and~(iv) are descriptions of the respective frameworks' scopes.,Prune internal-project vocabulary from running prose,ALG-I
I0007,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,214,1980,\subsection{Motivation: reversing the prism},\subsection{Motivation: reversing the prism},narrative-meta,must-upgrade,high,"If the bar construction acts as a prism decomposing chiral algebras into their spectrum, the cobar construction acts as the \emph{inverse prism}, reconstructing the algebra from its spectral components. Geometrically: th",Prune internal-project vocabulary from running prose,ALG-I
I0008,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,229,2903,\subsection{Physical interpretation: on-shell propagator and Feynman-rule templates},\subsection{Physical interpretation: on-shell propagator and Feynman-rule templates},status-heuristic,must-upgrade,high,\begin{conjecture}[Cobar elements as on-shell propagator templates; \ClaimStatusHeuristic]\label{conj:cobar-physical},"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0009,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,229,2959,\subsection{Physical interpretation: on-shell propagator and Feynman-rule templates},\subsection{Physical interpretation: on-shell propagator and Feynman-rule templates},narrative-meta,must-upgrade,high,\begin{remark}[Scope],Prune internal-project vocabulary from running prose,ALG-I
I0010,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,229,2960,\subsection{Physical interpretation: on-shell propagator and Feynman-rule templates},\subsection{Physical interpretation: on-shell propagator and Feynman-rule templates},status-heuristic,must-upgrade,high,"Conjecture~\ref{conj:cobar-physical} is tagged \ClaimStatusHeuristic{} because the identification of cobar elements with on-shell propagators requires external physics input (equations of motion, path integral measure) that lies outside the algebraic framework of this monograph.","Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0011,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,240,3628,\subsection{Poincaré--Verdier duality realization},\subsection{Poincaré--Verdier duality realization},narrative-meta,must-upgrade,high,\item The duality exchanges extraction (analysis) with reconstruction (synthesis),Prune internal-project vocabulary from running prose,ALG-I
I0012,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,253,4287,\subsection{BRST cohomology and string theory connection},\subsection{BRST cohomology and string theory connection},status-heuristic,must-upgrade,high,\begin{conjecture}[BRST cohomology realization; \ClaimStatusHeuristic]\label{conj:brst-cohomology},"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0013,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,253,4354,\subsection{BRST cohomology and string theory connection},\subsection{BRST cohomology and string theory connection},status-heuristic,must-upgrade,high,\begin{conjecture}[Anomaly cancellation for matter-ghost systems; \ClaimStatusHeuristic]\label{conj:anomaly-cancellation},"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0014,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,262,4943,\subsection{I-adic completion: topology and convergence},\subsection{I-adic completion: topology and convergence},narrative-meta,must-upgrade,high,"throughout Parts~II--III, whereas $W_\infty$ marks the frontier where a",Prune internal-project vocabulary from running prose,ALG-I
I0015,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,5250,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,\emph{Scope.} This is the current M/S-level shadow inside the manuscript's,Prune internal-project vocabulary from running prose,ALG-I
I0016,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,5253,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,"that frontier is recorded under MC4, where $W_\infty$ is the conjectural",Prune internal-project vocabulary from running prose,ALG-I
I0017,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,5259,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,\begin{example}[$W_\infty$: exact MC4 frontier],Prune internal-project vocabulary from running prose,ALG-I
I0018,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,5267,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,not the stronger H-level realization expected in the modular programme.,Prune internal-project vocabulary from running prose,ALG-I
I0019,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,5269,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,\emph{The precise frontier statement} is no longer a first inverse-limit,Prune internal-project vocabulary from running prose,ALG-I
I0020,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,5309,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,"finite-type theory.  It should be read as an exact MC4 frontier, not as",Prune internal-project vocabulary from running prose,ALG-I
I0021,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,5313,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},status-conjectured,must-upgrade,high,\begin{conjecture}[Inverse-limit completed bar-cobar package; \ClaimStatusConjectured],"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0022,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,5335,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,\emph{This is the theorem-shaped local form of the MC4 frontier:,Prune internal-project vocabulary from running prose,ALG-I
I0023,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,5578,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,realization problems remain on the MC4/MC5 frontier.  By,Prune internal-project vocabulary from running prose,ALG-I
I0024,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,5711,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,remaining frontier is,Prune internal-project vocabulary from running prose,ALG-I
I0025,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,5830,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,completion.  Thus the live $\mathcal{W}_\infty$ frontier is to,Prune internal-project vocabulary from running prose,ALG-I
I0026,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,5857,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},status-conjectured,must-upgrade,high,\texorpdfstring{$W_\infty$}{W_infty} target; \ClaimStatusConjectured],"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0027,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,5879,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},status-conjectured,must-upgrade,high,\texorpdfstring{$W_\infty$}{W_infty} completion; \ClaimStatusConjectured],"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0028,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,5976,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},status-conjectured,must-upgrade,high,\texorpdfstring{$W_\infty$}{W_infty}; \ClaimStatusConjectured],"Fence, split, move, or prove conjectural/heuristic material",ALG-B
I0029,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,5997,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,Thus the live $\mathcal{W}_\infty$ frontier is not further stabilization,Prune internal-project vocabulary from running prose,ALG-I
I0030,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,6180,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,the remaining $\mathcal{W}_\infty$ frontier is reduced to matching the,Prune internal-project vocabulary from running prose,ALG-I
I0031,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,6233,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,$\mathcal{W}_\infty$ frontier is reduced to exact equality of the,Prune internal-project vocabulary from running prose,ALG-I
I0032,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,6888,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,"live stage-$4$ frontier is one new coefficient in the $(3,3)$ block,",Prune internal-project vocabulary from running prose,ALG-I
I0033,Core Theory,chapters/theory/bar_cobar_construction.tex,177-346,266,6909,\subsection{Examples: computing Koszul duals with completion},\subsection{Examples: computing Koszul duals with completion},narrative-meta,must-upgrade,high,\begin{corollary}[Stage-$4$ frontier as one mixed block and three,Prune internal-project vocabulary from running prose,ALG-I
