volume,part,file,line,label,env_type,status,title,snippet,risk,attack_swarm,dismissal_stance,dismissal_reason
V1,connections,chapters/connections/arithmetic_shadows.tex,1009,conj:general-finiteness,conjecture,Conjectured,General finiteness conjecture,"ClaimStatusConjectured index{shadow depth!general finiteness conjecture} If~ is strongly finitely generated and no strong generator~ satisfies for any~ , then .",high,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/arithmetic_shadows.tex,3000,conj:quartic-closure,conjecture,Conjectured,Quartic closure,"% ClaimStatusConjectured% index{quartic closure conjecture}% index{Riemann hypothesis!quartic closure}% Define the quartic compatibility locus begin{equation} L_{c,u_0}^{ mathrm{Vir}} ;:= ; bigl { rho : C_{3, mathrm{Vir}}^{(3)}(c, rho;u_0) = 1, ; C_{4, mathrm{Vir}}^{ mathrm{Gram}}(c, rho;u_0) = 1 bigr }. end{equation} Then: begin{enumerate}[label= textup{( roman*)}] item textup{(}Quartic on-line t",high,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/arithmetic_shadows.tex,3340,sec:rigidity-conjecture,conjecture,Conjectured,Modular spectral rigidity,"% % ClaimStatusConjectured% index{modular spectral rigidity|textbf}% index{Ramanujan bound!from MC equation}% index{non-commutative Weil conjecture}% Let be a chirally Koszul algebra with HS-sewing, and let be the spectral measure of~ . If is the Hecke eigenform corresponding to the atom~ textup{(}via the modularity constraint, Proposition~ textup{} textup{)}, then: begin{enumerate}[label= textup{",critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points. | Moduli-space checker: clutching compatibility, boundary orientation, codimension-two cancellation, and logarithmic normal-crossings hypotheses are the key fragilities.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/arithmetic_shadows.tex,3754,conj:modular-spectral-rigidity-sharp,conjecture,Conjectured,Modular spectral rigidity---sharpened form,"% ClaimStatusConjectured% index{modular spectral rigidity!sharpened form}% The overdetermined system has a emph{unique} solution. The spectral atoms are uniquely determined by the shadow tower data at sufficiently high arity, and this unique solution satisfies the Ramanujan bound .",critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points. | Moduli-space checker: clutching compatibility, boundary orientation, codimension-two cancellation, and logarithmic normal-crossings hypotheses are the key fragilities.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/arithmetic_shadows.tex,3881,conj:prime-locality-transfer,conjecture,Conjectured,Prime-locality,% ClaimStatusConjectured% index{prime-locality!transfer programme}% The shadow coefficients decompose prime-by-prime: . Proved for lattice VOAs textup{(}Proposition~ textup{} textup{)}; trivially satisfied for Virasoro at leading~ .,high,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/arithmetic_shadows.tex,3892,conj:operadic-rankin-selberg-main,conjecture,Conjectured,Operadic Rankin--Selberg---main form,% ClaimStatusConjectured% index{operadic Rankin--Selberg theorem!main form}% Assume prime-locality textup{(}Conjecture~ textup{} textup{)}. Then and the Ramanujan bound follows.,high,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/arithmetic_shadows.tex,5406,conj:complex-saddle-scattering,conjecture,Heuristic,"Complex saddle-point access to scattering
poles","ClaimStatusHeuristic% index{saddle point!complex}% index{scattering matrix!saddle-point access}% At higher genus, the complexified Liouville integral provides a representation whose saddle-point structure is sensitive to the scattering poles: begin{enumerate}[label= textup{( roman*)}] item The real saddle textup{(}constant curvature textup{)} reproduces~ of Proposition~ textup{}, which is holomorp",critical,"Heuristic filter: treat as motivation, not evidence; reject any downstream theorem that silently uses it. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Dismiss as evidence; retain only as a research prompt.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/bv_brst.tex,410,conj:bar-topological-brst,conjecture,Conjectured,Bar complex \texorpdfstring{$=$}{=} topological BRST,The ghost transformation law (Theorem~) extends to a dg algebra isomorphism: [ bar{B}^{ mathrm{ch}}( mathcal{A}) cong C^*_{ mathrm{top} text{-} mathrm{BRST}}( mathcal{A} otimes mathrm{Diff}(X)). ],critical,"Counterexample hunter: conjecture status means no proof; search first in low-rank, low-genus, abelian/free, or degenerate boundary cases. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Unproved; do not use downstream without reduction to tested special cases.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/bv_brst.tex,1166,conj:quantum-master-complete,conjecture,Heuristic,Quantum master equation,"The emph{quantum master equation} [ hbar Delta S + frac{1}{2} {S, S } = 0 ] or equivalently is solved by the bar-cobar pairing.",high,"Heuristic filter: treat as motivation, not evidence; reject any downstream theorem that silently uses it. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Dismiss as evidence; retain only as a research prompt.,Status alone bars downstream use as established mathematics.
V1,connections,chapters/connections/bv_brst.tex,1174,conj:bv-equals-bar-cobar,conjecture,Heuristic,BV quantization = bar-cobar duality,"The BV quantization of a chiral algebra is equivalent to computing the bar-cobar homology: [H^*_{ text{BV}}( mathcal{A}) cong H^*( bar{B}( mathcal{A}), Omega( mathcal{A}^!)) ] where is the Koszul dual. For affine Kac--Moody algebras, this is proved: Theorem~ identifies the bar complex with the semi-infinite textup{(}BRST textup{)} complex, and the bar-cobar quasi-isomorphism textup{(}Theorem~ text",critical,"Heuristic filter: treat as motivation, not evidence; reject any downstream theorem that silently uses it. | Physics-to-math bridge auditor: identify where physical intuition is promoted to theorem; anomaly cancellation, BV closure, and perturbative/nonperturbative jumps are attack points.",Dismiss as evidence; retain only as a research prompt.,Status alone bars downstream use as established mathematics.
