volume,file,line,text
V1,README.md,26,![Heuristic](https://img.shields.io/badge/heuristic-22-8b949e?style=flat-square&labelColor=0d1117)
V1,README.md,42,"The monograph is approximately half theory, half examples. Five main theorems (A, B, C, D, H) form the proved core. Five master conjectures (MC1&ndash;MC5) define the research frontier; MC1&ndash;MC5 are all resolved. The organizing structure is the **modular convolution L<sub>&infin;</sub>-algebra** &mdash; a single chain-level object built from three inputs: Malikov&ndash;Schechtman homotopy chiral algebras, Mok&rsquo;s logarithmic Fulton&ndash;MacPherson compactifications, and Robert-Nicoud&n"
V1,README.md,130,"> &ensp; 1,513 proved claims&ensp;(1,183 here&hairsp;+&hairsp;330 elsewhere).&ensp; Every claim has a machine-readable status tag."
V1,README.md,139,All conjectured claims trace to one of five master conjectures. All five are resolved; the remaining frontier is MC3 extension to arbitrary Dynkin type.
V1,README.md,263,"| **Frontier** | Ch 34 (concordance &mdash; the ""constitution"") &rarr; MC3 arbitrary type, Koszulness programme, analytic sewing |"
V1,README.md,391,| `combinatorial_frontier.tex` | Combinatorial frontier analysis |
V1,README.md,408,| <kbd>make integrity</kbd> | Strict integrity gate: clean rebuild + diagnostics + claim-tag coverage. |
V1,README.md,413,| <kbd>make census</kbd> | Claim status census across all source files. |
V1,README.md,622,## Claim Status Tags
V1,README.md,631,| `\ClaimStatusHeuristic` | Physics-level argument or heuristic evidence | 19 |
V1,notes/PROGRAMMES.md,1,# RESEARCH PROGRAMMES — State of the Frontier
V1,notes/PROGRAMMES.md,12,**Governing principle (Dual Imperative)**: Every programme below is driven by
V1,notes/PROGRAMMES.md,16,"difficulty, so the frontier advances honestly."
V1,notes/PROGRAMMES.md,54,Status discipline for the frontier:
V1,notes/PROGRAMMES.md,56,"(for example the Virasoro involution `c <-> 26-c`), that partner should be read as the"
V1,notes/PROGRAMMES.md,59,infinite-generator dual object (for example `W_\\infty`) remains frontier mathematics and belongs to the
V1,notes/PROGRAMMES.md,62,Current frontier dependency order:
V1,notes/PROGRAMMES.md,71,"3. **Live frontier**: MC3 and MC4, now interpreted as the full"
V1,notes/PROGRAMMES.md,77,"Derived Drinfeld-Kohno should be read as a staged ladder, not one"
V1,notes/PROGRAMMES.md,102,| III (Fusion) | Monoidality: the modular characteristic hierarchy should be functorial |
V1,notes/PROGRAMMES.md,108,| IX (Computation) | Explicit: data testing scalar/spectral laws and the MC3/MC4 frontier |
V1,notes/PROGRAMMES.md,200,Delta: D(g-mod_{crit}) -> D(QCoh(Op)). Our bar complex should be the chain-level
V1,notes/PROGRAMMES.md,226,and bar-cobar duality should give a geometric proof of the
V1,notes/PROGRAMMES.md,305,"shadow comparison should now target this exact fingerprint, not just"
V1,notes/PROGRAMMES.md,428,"must be a coalgebra morphism, not just a chain map"
V1,notes/PROGRAMMES.md,477,- Bar complex should recover graph complexes computing finite-type invariants
V1,notes/PROGRAMMES.md,555,"should do"" — it is ""mathematical tools we need to build."" See NEW_MACHINERY.md #M6-M10"
V1,notes/PROGRAMMES.md,595,**Vision**: The bar-cobar adjunction should supply the algebraic template for holographic
V1,notes/PROGRAMMES.md,630,blocks) should admit a chain-level avatar through the bar complex.
V1,notes/PROGRAMMES.md,705,Those identities are no longer a vague comparison slogan; they are
V1,notes/PROGRAMMES.md,709,"Foundationally, one should not first search for a closed"
V1,notes/PROGRAMMES.md,783,"first next downstream reduced stage is already explicit, and it should"
V1,notes/PROGRAMMES.md,835,"coefficient, and `cor:winfty-stage5-effective-independent-frontier`"
V1,notes/PROGRAMMES.md,864,then rewrites the same frontier defect-theoretically: the full
V1,notes/PROGRAMMES.md,941,- Entanglement (rem:entanglement-koszul-complexity): heuristic
V1,notes/PROGRAMMES.md,989,### VIII-a: W-algebra Koszul duality for general nilpotent data / orbit-indexed frontier
V1,notes/PROGRAMMES.md,999,"This is a distinct orbit-indexed transport frontier, not the standard"
V1,notes/PROGRAMMES.md,1013,"type-A frontier catalog with transpose BV duality, orbit-dimension"
V1,notes/PROGRAMMES.md,1024,packet of the non-principal frontier.
V1,notes/PROGRAMMES.md,1028,"non-principal seed records, so frontier bookkeeping is no longer"
V1,notes/PROGRAMMES.md,1102,"to be non-abelian on both sides, so the quadratic ghost term must appear in"
V1,notes/PROGRAMMES.md,1215,"`r=1,2,3`. The first-transfer frontier is therefore already open one step"
