label,type,name,status,file,line
thm:arnold-relations-appendix,theorem,Arnold relations \cite{Arnold69}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/arnold_relations.tex,20
prop:operadic-equivalence-arnold,proposition,Operadic equivalence: Arnold relations \texorpdfstring{$\Leftrightarrow$}{iff} \texorpdfstring{$d^2 = 0$}{d\textasciicircum 2 = 0}; \ClaimStatusProvedHere,ProvedHere,appendices/arnold_relations.tex,58
thm:bar-d-squared-arnold,theorem,Bar differential squares to zero; \ClaimStatusProvedHere,ProvedHere,appendices/arnold_relations.tex,76
lem:OS-cohomology-arnold,lemma,OS computes cohomology \cite{OS80}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/arnold_relations.tex,110
cor:bar-d-squared-zero-arnold,corollary,Bar differential squares to zero; \ClaimStatusProvedHere,ProvedHere,appendices/arnold_relations.tex,149
thm:arnold-iff-nilpotent,theorem,Arnold relations \texorpdfstring{$\Leftrightarrow$}{iff} \texorpdfstring{$d_{\text{residue}}^2 = 0$}{d\_residue\textasciicircum 2 = 0}; \ClaimStatusProvedHere,ProvedHere,appendices/arnold_relations.tex,165
thm:arnold-general-n,theorem,"Arnold relations for \texorpdfstring{$n$}{n} points \cite{Arnold69, OS80}; \ClaimStatusProvedElsewhere",ProvedElsewhere,appendices/arnold_relations.tex,308
thm:config-boundary-relations,theorem,Configuration space boundary relations; \ClaimStatusProvedHere,ProvedHere,appendices/arnold_relations.tex,362
cor:dres-squared-global,corollary,\texorpdfstring{$d_{\mathrm{res}}^2 = 0$}{d\_res\textasciicircum 2 = 0} globally; \ClaimStatusProvedHere,ProvedHere,appendices/arnold_relations.tex,486
prop:scalar-mc-skeleton,proposition,The scalar shadow is an abelian MC element; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,141
thm:spectral-cumulant-hierarchy,theorem,Spectral cumulant hierarchy; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,200
thm:first-obstruction-traceless-quadratic,theorem,First obstruction is traceless and quadratic; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,282
cor:filtered-lift-vanishing,corollary,Vanishing criterion for filtered lifts; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,355
lem:positive-weight-contraction,lemma,Positive-weight contraction; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,423
thm:vir-positive-weight-acyclic,theorem,Positive-weight Virasoro sectors are acyclic; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,440
cor:vir-localization-reduced-spectral,corollary,Localization to reduced spectral sectors; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,459
prop:odd-sheet-rigidity,proposition,Odd-sheet rigidity for one-line reductions; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,487
cor:mu2-centered-at-13,corollary,The genus-\(2\) one-line coefficient is centered at \texorpdfstring{$13$}{13}; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,528
lem:universal-branch-moments,lemma,Universal branch moments; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,591
thm:hodge-depth-formula,theorem,Depth formula; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,653
lem:separating-hodge-splitting,lemma,Separating Hodge splitting; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,686
lem:nonseparating-hodge-extension,lemma,Nonseparating Hodge extension; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,728
thm:genus-two-transparency,theorem,Genus-\(2\) transparency on a one-line branch quotient; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,767
cor:vir-genus-two-vanishing,corollary,Virasoro genus-\(2\) coefficient vanishes in the one-line quotient; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,811
cor:first-primitive-genus-three,corollary,The first primitive traceless coefficient begins in genus \texorpdfstring{$3$}{3}; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,823
lem:genus-three-rose-unique,lemma,Uniqueness of the primitive rose in genus \texorpdfstring{$3$}{3}; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,841
thm:pure-branch-primitive-coefficient,theorem,Pure-branch primitive coefficient on a rank-two sheet; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,871
thm:first-primitive-top-hodge-layer,theorem,First primitive top-Hodge layer; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,966
cor:genus-three-primitive-top-hodge,corollary,The genus-\(3\) primitive coefficient; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,1003
cor:shared-sheet-universal-coefficients,corollary,Universal coefficients on the shared sheet; \ClaimStatusProvedHere,ProvedHere,appendices/branch_line_reductions.tex,1075
thm:quadratic-have-duals,theorem,"Quadratic algebras have duals \cite{LV12, Priddy70}; \ClaimStatusProvedElsewhere",ProvedElsewhere,appendices/existence_criteria.tex,128
thm:regular-implies-koszul,theorem,"Regularity implies Koszul \cite{BGS96, LV12}; \ClaimStatusProvedElsewhere",ProvedElsewhere,appendices/existence_criteria.tex,258
thm:completed-koszul-dual,theorem,Completed Koszul dual \cite{Positselski11}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/existence_criteria.tex,293
thm:completion-convergence-criteria,theorem,Convergence of completion \cite{Positselski11}; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/existence_criteria.tex,342
prop:classification-table,proposition,"Classification table \cite{FBZ04, BD04}; \ClaimStatusProvedHere",ProvedHere,appendices/existence_criteria.tex,433
prop:kac-moody-koszul-duals,proposition,"Kac--Moody Koszul duals \cite{FBZ04, Feigin-Frenkel}; \ClaimStatusProvedElsewhere",ProvedElsewhere,appendices/existence_criteria.tex,470
prop:w-algebra-koszul,proposition,"\texorpdfstring{$\mathcal{W}$}{W}-algebra Koszul property \cite{Arakawa17, KRW}; \ClaimStatusProvedElsewhere",ProvedElsewhere,appendices/existence_criteria.tex,511
thm:extended-koszul-appendix,theorem,Extended Koszul duality; \ClaimStatusProvedHere,ProvedHere,appendices/koszul_reference.tex,16
thm:genus-graded-koszul-duality-appendix,theorem,Genus-graded Koszul duality theorem; \ClaimStatusProvedHere,ProvedHere,appendices/koszul_reference.tex,72
lem:genus-graded-koszul-resolution-appendix,lemma,Genus-graded Koszul complex resolution; \ClaimStatusProvedHere,ProvedHere,appendices/koszul_reference.tex,109
thm:genus-graded-mc-appendix,theorem,Genus-graded MC elements parametrize deformations; \ClaimStatusProvedHere,ProvedHere,appendices/koszul_reference.tex,130
thm:essential-image-koszul,theorem,Essential image of Koszul duality; \ClaimStatusProvedHere,ProvedHere,appendices/koszul_reference.tex,261
lem:conilpotency-necessary,lemma,Conilpotency is necessary; \ClaimStatusProvedHere,ProvedHere,appendices/koszul_reference.tex,323
lem:connectedness-augmentation,lemma,Connectedness characterizes augmentation; \ClaimStatusProvedHere,ProvedHere,appendices/koszul_reference.tex,352
thm:koszul-geom-rep,theorem,Koszul duals are geometrically representable; \ClaimStatusProvedHere,ProvedHere,appendices/koszul_reference.tex,381
cor:geom-implies-koszul,corollary,Converse: geometric representability implies Koszul; \ClaimStatusProvedHere,ProvedHere,appendices/koszul_reference.tex,413
thm:curvature-central-appendix,theorem,Curvature must be central; \ClaimStatusProvedHere,ProvedHere,appendices/koszul_reference.tex,463
thm:completion-characterization,theorem,Completion characterization; \ClaimStatusProvedElsewhere,ProvedElsewhere,appendices/koszul_reference.tex,583
thm:uniqueness-algebra,theorem,Uniqueness up to quasi-isomorphism; \ClaimStatusProvedHere,ProvedHere,appendices/koszul_reference.tex,616
thm:nms-mc-principle,theorem,Algebra structure $=$ Maurer--Cartan element; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,185
prop:nms-five-component,proposition,Five-component decomposition; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,218
thm:nms-shadow-tower-mc,theorem,Shadow tower from MC evaluation; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,278
cor:nms-all-families-universal,corollary,All families from universal evaluation; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,318
thm:nms-ambient-complementarity-tangent,theorem,Ambient complementarity in tangent form; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,411
thm:nms-ambient-complementarity-fmp,theorem,Ambient complementarity as a shifted symplectic formal moduli problem; \ClaimStatusConjectured,Conjectured,appendices/nonlinear_modular_shadows.tex,435
thm:nms-cotangent-normal-form,theorem,Shifted cotangent normal form; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,465
prop:nms-legendre-duality,proposition,Legendre duality of the two potentials; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,511
prop:nms-legendre-cubic,proposition,Legendre duality of cubic tensors; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,520
thm:nms-derived-critical-locus,theorem,Derived critical locus of self-dual deformations; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,541
prop:nms-fake-complementarity,proposition,Criterion for fake complementarity; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,556
thm:nms-shadow-master-equations,theorem,Quartic shadow master equations; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,655
thm:nms-separating-boundary-recursion,theorem,Separating boundary recursion through quartic order; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,694
thm:nms-shadow-cocycle-characterization,theorem,Finite-order realization of the universal class; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,756
prop:nms-quartic-closure-envelope,proposition,Quartic closure of the shadow envelope; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,807
thm:nms-heisenberg-exact-linearity,theorem,Heisenberg exact linearity; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,830
cor:nms-heisenberg-gaussian-boundary,corollary,Gaussian boundary law; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,850
thm:nms-affine-cubic-normal-form,theorem,Affine cubic normal form; \ClaimStatusProvedHere,ProvedHere,appendices/nonlinear_modular_shadows.tex,874
